2021-12-15 12:34:35.848 [TID: N/A] INFO  [main] o.a.d.common.logger.LoggerFactory [?:?]: - using logger: org.apache.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
2021-12-15 12:34:35.892 [TID: N/A] INFO  [main] o.a.d.s.b.c.e.WelcomeLogoApplicationListener [onApplicationEvent:63]: - 

 :: Dubbo Spring Boot (v2.7.8) : https://github.com/apache/dubbo-spring-boot-project
 :: Dubbo (v2.7.12) : https://github.com/apache/dubbo
 :: Discuss group : dev@dubbo.apache.org

2021-12-15 12:34:35.916 [TID: N/A] INFO  [main] o.a.d.s.b.c.e.OverrideDubboConfigApplicationListener [onApplicationEvent:68]: - Dubbo Config was overridden by externalized configuration {dubbo.application.name=ruyuan-eshop-fulfill, dubbo.application.qos-enable=false, dubbo.config.multiple=true}
2021-12-15 12:34:36.717 [TID: N/A] INFO  [pool-1-thread-1] o.a.d.s.b.c.e.AwaitingNonWebApplicationListener [lambda$null$0:159]: -  [Dubbo] Current Spring Boot Application is await...
2021-12-15 12:34:36.822 [TID: N/A] INFO  [main] o.a.d.s.b.c.e.OverrideDubboConfigApplicationListener [onApplicationEvent:68]: - Dubbo Config was overridden by externalized configuration {dubbo.application.name=ruyuan-eshop-fulfill, dubbo.application.qos-enable=false, dubbo.cloud.subscribed-services=ruyuan-eshop-fulfill,ruyuan-eshop-order,ruyuan-eshop-wms,ruyuan-eshop-tms, dubbo.config.multiple=true, dubbo.consumer.check=false, dubbo.protocol.name=dubbo, dubbo.protocol.port=28087, dubbo.provider.actives=200, dubbo.provider.threads=800, dubbo.registry.address=spring-cloud://localhost, dubbo.scan.base-packages=com.ruyuan.eshop.fulfill.api}
2021-12-15 12:34:36.970 [TID: N/A] WARN  [main] c.a.c.n.c.NacosPropertySourceBuilder [loadNacosData:87]: - Ignore the empty nacos configuration and get it based on dataId[ruyuan-eshop-fulfill] & group[DEFAULT_GROUP]
2021-12-15 12:34:37.007 [TID: N/A] WARN  [main] c.a.c.n.c.NacosPropertySourceBuilder [loadNacosData:87]: - Ignore the empty nacos configuration and get it based on dataId[ruyuan-eshop-fulfill.yaml] & group[DEFAULT_GROUP]
